runs,opponent,ground,date,match,Match_No,total
5,SouthAfrica,Centurion,2018-01-13,Test,355,16445
54,SouthAfrica,Johannesburg,2018-01-24,Test,356,16499
41,SouthAfrica,Johannesburg,2018-01-24,Test,357,16540
112,SouthAfrica,Durban,2018-02-01,ODI,358,16652
46,SouthAfrica,Centurion,2018-02-04,ODI,359,16698
160,SouthAfrica,CapeTown,2018-02-07,ODI,360,16858
75,SouthAfrica,Johannesburg,2018-02-10,ODI,361,16933
36,SouthAfrica,Gqeberha,2018-02-13,ODI,362,16969
129,SouthAfrica,Centurion,2018-02-16,ODI,363,17098
26,SouthAfrica,Johannesburg,2018-02-18,T20,364,17124
1,SouthAfrica,Centurion,2018-02-21,T20,365,17125
0,Ireland,Dublin(Malahide),2018-06-27,T20,366,17125
9,Ireland,Dublin(Malahide),2018-06-29,T20,367,17134
20,England,Manchester,2018-07-03,T20,368,17154
47,England,Cardiff,2018-07-06,T20,369,17201
43,England,Bristol,2018-07-08,T20,370,17244
75,England,Nottingham,2018-07-12,ODI,371,17319
45,England,Lord's,2018-07-14,ODI,372,17364
71,England,Leeds,2018-07-17,ODI,373,17435
149,England,Birmingham,2018-08-01,Test,374,17584
51,England,Birmingham,2018-08-01,Test,375,17635
23,England,Lord's,2018-08-09,Test,376,17658
17,England,Lord's,2018-08-09,Test,377,17675
97,England,Nottingham,2018-08-18,Test,378,17772
103,England,Nottingham,2018-08-18,Test,379,17875
46,England,Southampton,2018-08-30,Test,380,17921
58,England,Southampton,2018-08-30,Test,381,17979
49,England,TheOval,2018-09-07,Test,382,18028
0,England,TheOval,2018-09-07,Test,383,18028
139,WestIndies,Rajkot,2018-10-04,Test,384,18167
45,WestIndies,Hyderabad(Deccan),2018-10-12,Test,385,18212
140,WestIndies,Guwahati,2018-10-21,ODI,386,18352
157,WestIndies,Visakhapatnam,2018-10-24,ODI,387,18509
107,WestIndies,Pune,2018-10-27,ODI,388,18616
16,WestIndies,Brabourne,2018-10-29,ODI,389,18632
33,WestIndies,Thiruvananthapuram,2018-11-01,ODI,390,18665
4,Australia,Brisbane,2018-11-21,T20,391,18669
61,Australia,Sydney,2018-11-25,T20,392,18730
3,Australia,Adelaide,2018-12-06,Test,393,18733
34,Australia,Adelaide,2018-12-06,Test,394,18767
123,Australia,Perth,2018-12-14,Test,395,18890
17,Australia,Perth,2018-12-14,Test,396,18907
82,Australia,Melbourne,2018-12-26,Test,397,18989
0,Australia,Melbourne,2018-12-26,Test,398,18989
23,Australia,Sydney,2019-01-03,Test,399,19012
3,Australia,Sydney,2019-01-12,ODI,400,19015
104,Australia,Adelaide,2019-01-15,ODI,401,19119
46,Australia,Melbourne,2019-01-18,ODI,402,19165
45,NewZealand,Napier,2019-01-23,ODI,403,19210
43,NewZealand,MountMaunganui,2019-01-26,ODI,404,19253
60,NewZealand,MountMaunganui,2019-01-28,ODI,405,19313
24,Australia,Visakhapatnam,2019-02-24,T20,406,19337
72,Australia,Bengaluru,2019-02-27,T20,407,19409
44,Australia,Hyderabad(Deccan),2019-03-02,ODI,408,19453
116,Australia,Nagpur,2019-03-05,ODI,409,19569
123,Australia,Ranchi,2019-03-08,ODI,410,19692
7,Australia,Mohali,2019-03-10,ODI,411,19699
20,Australia,Delhi,2019-03-13,ODI,412,19719
18,SouthAfrica,Southampton,2019-06-05,ODI,413,19737
82,Australia,TheOval,2019-06-09,ODI,414,19819
77,Pakistan,Manchester,2019-06-16,ODI,415,19896
67,Afghanistan,Southampton,2019-06-22,ODI,416,19963
72,WestIndies,Manchester,2019-06-27,ODI,417,20035
66,England,Birmingham,2019-06-30,ODI,418,20101
26,Bangladesh,Birmingham,2019-07-02,ODI,419,20127
34,SriLanka,Leeds,2019-07-06,ODI,420,20161
1,NewZealand,Manchester,2019-07-09,ODI,421,20162
19,WestIndies,Lauderhill,2019-08-03,T20,422,20181
28,WestIndies,Lauderhill,2019-08-04,T20,423,20209
59,WestIndies,Providence,2019-08-06,T20,424,20268
120,WestIndies,PortofSpain,2019-08-11,ODI,425,20388
114,WestIndies,PortofSpain,2019-08-14,ODI,426,20502
9,WestIndies,NorthSound,2019-08-22,Test,427,20511
51,WestIndies,NorthSound,2019-08-22,Test,428,20562
76,WestIndies,Kingston,2019-08-30,Test,429,20638
0,WestIndies,Kingston,2019-08-30,Test,430,20638
72,SouthAfrica,Mohali,2019-09-18,T20,431,20710
9,SouthAfrica,Bengaluru,2019-09-22,T20,432,20719
20,SouthAfrica,Visakhapatnam,2019-10-02,Test,433,20739
31,SouthAfrica,Visakhapatnam,2019-10-02,Test,434,20770
254,SouthAfrica,Pune,2019-10-10,Test,435,21024
12,SouthAfrica,Ranchi,2019-10-19,Test,436,21036
0,Bangladesh,Indore,2019-11-14,Test,437,21036
136,Bangladesh,Kolkata,2019-11-22,Test,438,21172
94,WestIndies,Hyderabad(Deccan),2019-12-06,T20,439,21266
19,WestIndies,Thiruvananthapuram,2019-12-08,T20,440,21285
70,WestIndies,Wankhede,2019-12-11,T20,441,21355
4,WestIndies,Chennai,2019-12-15,ODI,442,21359
0,WestIndies,Visakhapatnam,2019-12-18,ODI,443,21359
85,WestIndies,Cuttack,2019-12-22,ODI,444,21444
30,SriLanka,Indore,2020-01-07,T20,445,21474
26,SriLanka,Pune,2020-01-10,T20,446,21500
16,Australia,Wankhede,2020-01-14,ODI,447,21516
78,Australia,Rajkot,2020-01-17,ODI,448,21594
